ya_key,ya_settingtypeid,utcconversiontimezonecode,importsequencenumber,statuscode,timezoneruleversionnumber,versionnumber,statecode,owningbusinessunit
Integer,,,,,,,,
Array,,,,,,,,
Boolean,,,,,,,,
Number,,,,,,,,
Color,,,,,,,,
String,,,,,,,,
